Race,Grand Prix,Type,Veerle,Bernadette,Sven,Milan
Australian GP (Race),Australian GP,Race,2,7,7,2
China GP (Sprint),China GP,Sprint,4,4,0,4
China GP (Race),China GP,Race,10,4,9,4
Japanese GP (Race),Japanese GP,Race,7,5,4,7
Miami GP (Sprint),Miami GP,Sprint,3,3,3,0
Miami GP (Race),Miami GP,Race,5,4,2,5
Canada GP (Sprint),Canada GP,Sprint,0,3,3,0
Canada GP (Race),Canada GP,Race,5,5,8,5
Monaco GP (Race),Monaco GP,Race,2,5,2,2
Barcelona GP (Race),Barcelona GP,Race,5,5,10,5
Austria GP (Race),Austria GP,Race,9,5,4,9
British GP (Sprint),British GP,Sprint,3,1,7,0
British GP (Race),British GP,Race,8,8,5,4
Hungarian GP (Race),Hungarian GP,Race,4,7,2,10
Dutch GP (Sprint),Dutch GP,Sprint,0,3,0,3
Dutch GP (Race),Dutch GP,Race,2,18,2,4
Italian GP (Race),Italian GP,Race,2,5,2,5
